s;good;bad
1;0.995004165;0.995004165
2;0.980066578;0.980066578
3;0.955336489;0.955336489
4;0.921060994;0.921060994
5;0.877582562;0.877582562
6;0.825335615;0.825335615
7;0.764842187;0.764842187
8;0.696706709;0.696706709
9;0.621609968;0.621609968
10;0.540302306;0.540302306
11;0.453596121;0.453596121
12;0.362357754;0.362357754
13;0.267498829;0.267498829
14;0.169967143;0.169967143
15;0.070737202;0.070737202
16;-0.029199522;-0.029199522
17;-0.128844494;-0.128844494
18;-0.227202095;-0.227202095
19;-0.323289567;-0.323289567
20;-0.416146837;0
21;-0.504846105;-0.504846105
22;-0.588501117;-0.588501117
23;-0.666276021;-0.666276021
24;-0.737393716;-0.737393716
25;-0.801143616;-0.801143616
26;-0.856888753;-0.856888753
27;-0.904072142;-0.904072142
28;-0.942222341;-0.942222341
29;-0.970958165;-0.970958165
30;-0.989992497;-0.989992497
31;-0.99913515;-0.99913515
32;-0.998294776;-0.998294776
33;-0.98747977;-0.98747977
34;-0.966798193;-0.966798193
35;-0.936456687;-0.936456687
36;-0.896758416;-0.896758416
37;-0.848100032;-0.848100032
38;-0.790967712;-0.790967712
39;-0.725932304;-0.725932304
40;-0.653643621;-0.653643621
41;-0.574823947;-0.574823947
42;-0.490260821;-0.490260821
43;-0.400799172;-0.400799172
44;-0.30733287;-0.30733287
45;-0.210795799;-0.210795799
46;-0.112152527;-0.112152527
47;-0.012388663;-0.012388663
48;0.087498983;0.087498983
49;0.186512369;0.186512369
50;0.283662185;0.283662185
51;0.377977743;0.2
52;0.468516671;0.3
53;0.554374336;0.4
54;0.634692876;0.634692876
55;0.708669774;0.708669774
56;0.775565879;0.775565879
57;0.834712785;0.834712785
58;0.885519517;0.885519517
59;0.927478431;0.927478431
60;0.960170287;0.960170287
61;0.983268438;0.983268438
62;0.996542097;0.996542097
63;0.999858636;0.999858636
64;0.993184919;0.993184919
65;0.976587626;0.976587626
66;0.950232592;0.950232592
67;0.914383148;0.914383148
68;0.86939749;0.86939749
69;0.8157251;0.8157251
70;0.753902254;0.753902254
71;0.684546666;0.684546666
72;0.608351315;0.608351315
73;0.526077517;0.526077517
74;0.438547328;0.438547328
75;0.346635318;0.346635318
76;0.251259843;0.251259843
77;0.153373862;0.153373862
78;0.053955421;0.053955421
79;-0.046002126;-0.046002126
80;-0.145500034;-0.145500034
81;-0.243544154;-0.243544154
82;-0.339154861;-0.339154861
83;-0.431376845;-0.431376845
84;-0.519288654;-0.519288654
85;-0.602011903;-0.602011903
86;-0.678720047;-0.678720047
87;-0.748646646;-0.748646646
88;-0.811093014;-0.811093014
89;-0.865435209;-0.865435209
90;-0.911130262;-0.911130262
91;-0.947721602;-0.947721602
92;-0.974843621;-0.974843621
93;-0.992225325;-0.992225325
94;-0.999693042;-0.999693042
95;-0.997172156;-0.997172156
96;-0.984687856;-0.984687856
97;-0.96236488;-0.96236488
98;-0.930426272;-0.930426272
99;-0.889191153;-0.889191153
100;-0.839071529;-0.839071529
